
2022-07-18 20:36:20.140333 msg - watchlist.py - watchlist_main40 --> (re)loading watchlist items
2022-07-18 20:36:55.249036 msg - watchlist.py - watchlist_main40 --> (re)loading watchlist items
2022-07-18 20:36:55.253036 msg - watchlist.py - watchlist_main3 --> searching for artist hanske
2022-07-18 20:36:55.958552 msg - common.py - searchSpotify3 --> Succesfully returning search results for artist hanske.
2022-07-18 20:36:59.588942 msg - watchlist.py - watchlist_main80 --> add artist 3GOF617SIAlZb6hHLEaZjH to watchlist --> starting.
2022-07-18 20:36:59.588942 msg - watchlist.py - watchlist_main40 --> (re)loading watchlist items
2022-07-18 20:36:59.590942 msg - common.py - getTracksFromArtist --> requesting albums from artist 3GOF617SIAlZb6hHLEaZjH.
2022-07-18 20:37:00.904941 msg - common.py - getTracksFromArtist6 --> Succesfully returned list of 5 tracks from artist 3GOF617SIAlZb6hHLEaZjH
2022-07-18 20:37:00.904941 msg - watchlist.py - watchlist_main82 --> grabbed artist 3GOF617SIAlZb6hHLEaZjH's tracks: 5
2022-07-18 20:37:01.048944 msg - watchlist.py - watchlist_main84 --> artist Hansken added to watchlist.
2022-07-18 20:37:07.389912 msg - common.py - getTrackInfo --> requesting track info for trackID: 2LcTUChxkWLTpLP9VoHLwl
2022-07-18 20:37:08.079909 msg - common.py - getTrackInfo --> requesting track info for trackID: 19o5d6lgJNb3rVBBKTBobI
2022-07-18 20:37:08.547546 msg - common.py - getTrackInfo --> requesting track info for trackID: 19o5d6lgJNb3rVBBKTBobI
2022-07-18 20:37:09.078125 msg - common.py - getTrackInfo --> requesting track info for trackID: 19o5d6lgJNb3rVBBKTBobI
2022-07-18 20:37:09.764696 msg - watchlist.py - watchlist_main85 --> Finished - tracks in tracklist before adding artist 3GOF617SIAlZb6hHLEaZjH: 54, length after adding tracks: 59.
2022-07-18 20:37:09.764696 msg - watchlist.py - watchlist_main40 --> (re)loading watchlist items
2022-07-18 20:37:15.603823 msg - watchlist.py - watchlist_checkForNewTracks() --> started via button press.
2022-07-18 20:37:15.603823 msg - watchlist.py - checkWatchListItems --> starting.
2022-07-18 20:37:15.604820 msg - common.py - getTracksFromPlaylist --> requesting tracks from playlist 3clUyLPib0kP3tAcYDchFi.
2022-07-18 20:37:16.169818 msg - common.py - getTracksFromPlaylist6 --> Succesfully returned list of 10 tracks from playlist that contains 10 tracks.
2022-07-18 20:37:16.169818 msg - common.py - getTracksFromPlaylist --> requesting tracks from playlist 3elwM1iVIUg5Pwi2B8bmyU.
2022-07-18 20:37:16.750819 msg - common.py - getTracksFromPlaylist6 --> Succesfully returned list of 2 tracks from playlist that contains 2 tracks.
2022-07-18 20:37:16.750819 msg - common.py - getTracksFromArtist --> requesting albums from artist 63BZ4IfLJvazTv9QFaRtgW.
2022-07-18 20:37:29.280380 msg - common.py - getTracksFromArtist6 --> Succesfully returned list of 141 tracks from artist 63BZ4IfLJvazTv9QFaRtgW
2022-07-18 20:37:29.535379 msg - common.py - getTrackInfo --> requesting track info for trackID: 7H0qUInsNjgwEnnoVSX6Gc
2022-07-18 20:37:30.085380 msg - common.py - getTrackInfo --> requesting track info for trackID: 7H0qUInsNjgwEnnoVSX6Gc
2022-07-18 20:37:30.569378 msg - common.py - getTrackInfo --> requesting track info for trackID: 7H0qUInsNjgwEnnoVSX6Gc
2022-07-18 20:37:31.158380 msg - common.py - getTrackInfo --> requesting track info for trackID: 3LCrDfoNCFlVwmvPVVbOqG
2022-07-18 20:37:31.604380 msg - common.py - getTrackInfo --> requesting track info for trackID: 3LCrDfoNCFlVwmvPVVbOqG
2022-07-18 20:37:32.125381 msg - common.py - getTrackInfo --> requesting track info for trackID: 3LCrDfoNCFlVwmvPVVbOqG
2022-07-18 20:37:32.781378 msg - common.py - getTrackInfo --> requesting track info for trackID: 42St1erURShyCfac0P9t0Q
2022-07-18 20:37:33.273379 msg - common.py - getTrackInfo --> requesting track info for trackID: 42St1erURShyCfac0P9t0Q
2022-07-18 20:37:33.743382 msg - common.py - getTrackInfo --> requesting track info for trackID: 42St1erURShyCfac0P9t0Q
2022-07-18 20:37:34.413378 msg - common.py - getTrackInfo --> requesting track info for trackID: 1z2DieNXDzaqpin953lM4I
2022-07-18 20:37:34.872378 msg - common.py - getTrackInfo --> requesting track info for trackID: 1z2DieNXDzaqpin953lM4I
2022-07-18 20:37:35.347381 msg - common.py - getTrackInfo --> requesting track info for trackID: 1z2DieNXDzaqpin953lM4I
2022-07-18 20:37:36.011378 msg - common.py - getTrackInfo --> requesting track info for trackID: 3qmyyoJ8SgctPXnjTuxRGb
2022-07-18 20:37:36.481379 msg - common.py - getTrackInfo --> requesting track info for trackID: 3qmyyoJ8SgctPXnjTuxRGb
2022-07-18 20:37:36.999379 msg - common.py - getTrackInfo --> requesting track info for trackID: 3qmyyoJ8SgctPXnjTuxRGb
2022-07-18 20:37:37.707378 msg - common.py - getTrackInfo --> requesting track info for trackID: 2RebfKZESTfFGIHvsRmQ1L
2022-07-18 20:37:38.150378 msg - common.py - getTrackInfo --> requesting track info for trackID: 2RebfKZESTfFGIHvsRmQ1L
2022-07-18 20:37:38.641379 msg - common.py - getTrackInfo --> requesting track info for trackID: 2RebfKZESTfFGIHvsRmQ1L
2022-07-18 20:37:39.233378 msg - common.py - getTrackInfo --> requesting track info for trackID: 6dFiBaw6XOBvuyck5ur86z
2022-07-18 20:37:39.698378 msg - common.py - getTrackInfo --> requesting track info for trackID: 6dFiBaw6XOBvuyck5ur86z
2022-07-18 20:37:40.145379 msg - common.py - getTrackInfo --> requesting track info for trackID: 6dFiBaw6XOBvuyck5ur86z
2022-07-18 20:37:40.815379 msg - common.py - getTrackInfo --> requesting track info for trackID: 4hgCWmf3NQvZtdDNVqMZF8
2022-07-18 20:37:41.342382 msg - common.py - getTrackInfo --> requesting track info for trackID: 4hgCWmf3NQvZtdDNVqMZF8
2022-07-18 20:37:41.861378 msg - common.py - getTrackInfo --> requesting track info for trackID: 4hgCWmf3NQvZtdDNVqMZF8
2022-07-18 20:37:42.513378 msg - common.py - getTrackInfo --> requesting track info for trackID: 4vIBjHjAyRne8dPpI5VBex
2022-07-18 20:37:42.968380 msg - common.py - getTrackInfo --> requesting track info for trackID: 4vIBjHjAyRne8dPpI5VBex
2022-07-18 20:37:43.430379 msg - common.py - getTrackInfo --> requesting track info for trackID: 4vIBjHjAyRne8dPpI5VBex
2022-07-18 20:37:44.053378 msg - common.py - getTrackInfo --> requesting track info for trackID: 330liWCPq2Steijby9UVmX
2022-07-18 20:37:44.586379 msg - common.py - getTrackInfo --> requesting track info for trackID: 330liWCPq2Steijby9UVmX
2022-07-18 20:37:45.073380 msg - common.py - getTrackInfo --> requesting track info for trackID: 330liWCPq2Steijby9UVmX
2022-07-18 20:37:45.693378 msg - common.py - getTrackInfo --> requesting track info for trackID: 4NoxP1dAqkRtfFSCjICrBa
2022-07-18 20:37:46.188380 msg - common.py - getTrackInfo --> requesting track info for trackID: 4NoxP1dAqkRtfFSCjICrBa
2022-07-18 20:37:46.735365 msg - common.py - getTrackInfo --> requesting track info for trackID: 4NoxP1dAqkRtfFSCjICrBa
2022-07-18 20:37:47.474849 msg - common.py - getTrackInfo --> requesting track info for trackID: 7z4hUzuhWm64LDn0Qbyv5y
2022-07-18 20:37:47.920095 msg - common.py - getTrackInfo --> requesting track info for trackID: 7z4hUzuhWm64LDn0Qbyv5y
2022-07-18 20:37:48.405778 msg - common.py - getTrackInfo --> requesting track info for trackID: 7z4hUzuhWm64LDn0Qbyv5y
2022-07-18 20:37:48.981280 msg - common.py - getTrackInfo --> requesting track info for trackID: 2bdLxKhTVNI8eBrzWd8fvg
2022-07-18 20:37:49.489388 msg - common.py - getTrackInfo --> requesting track info for trackID: 2bdLxKhTVNI8eBrzWd8fvg
2022-07-18 20:37:49.993897 msg - common.py - getTrackInfo --> requesting track info for trackID: 2bdLxKhTVNI8eBrzWd8fvg
2022-07-18 20:37:50.718912 msg - common.py - getTrackInfo --> requesting track info for trackID: 2E28dTMealdjNMY8fx6hxy
2022-07-18 20:37:51.250855 msg - common.py - getTrackInfo --> requesting track info for trackID: 2E28dTMealdjNMY8fx6hxy
2022-07-18 20:37:51.751434 msg - common.py - getTrackInfo --> requesting track info for trackID: 2E28dTMealdjNMY8fx6hxy
2022-07-18 20:37:52.369336 msg - common.py - getTrackInfo --> requesting track info for trackID: 6qhri1rCq1w8MibRWpLZkm
2022-07-18 20:37:52.900937 msg - common.py - getTrackInfo --> requesting track info for trackID: 6qhri1rCq1w8MibRWpLZkm
2022-07-18 20:37:53.328308 msg - common.py - getTrackInfo --> requesting track info for trackID: 6qhri1rCq1w8MibRWpLZkm
2022-07-18 20:37:53.968142 msg - common.py - getTrackInfo --> requesting track info for trackID: 2hdRlmfNBbTMBftQmplO2l
2022-07-18 20:37:54.681596 msg - common.py - getTrackInfo --> requesting track info for trackID: 2hdRlmfNBbTMBftQmplO2l
2022-07-18 20:37:55.151439 msg - common.py - getTrackInfo --> requesting track info for trackID: 2hdRlmfNBbTMBftQmplO2l
2022-07-18 20:37:55.716287 msg - common.py - getTrackInfo --> requesting track info for trackID: 7LjENvqVJpSVoEHMksWT6D
2022-07-18 20:37:56.250491 msg - common.py - getTrackInfo --> requesting track info for trackID: 7LjENvqVJpSVoEHMksWT6D
2022-07-18 20:37:56.709967 msg - common.py - getTrackInfo --> requesting track info for trackID: 7LjENvqVJpSVoEHMksWT6D
2022-07-18 20:37:57.439817 msg - common.py - getTrackInfo --> requesting track info for trackID: 3nYQ2GaAsjQndxmnWCPjY3
2022-07-18 20:37:57.997339 msg - common.py - getTrackInfo --> requesting track info for trackID: 3nYQ2GaAsjQndxmnWCPjY3
2022-07-18 20:37:58.544901 msg - common.py - getTrackInfo --> requesting track info for trackID: 3nYQ2GaAsjQndxmnWCPjY3
2022-07-18 20:37:59.220470 msg - common.py - getTrackInfo --> requesting track info for trackID: 1yFUxNuVEHgbfGnpnjJjOw
2022-07-18 20:37:59.660556 msg - common.py - getTrackInfo --> requesting track info for trackID: 1yFUxNuVEHgbfGnpnjJjOw
2022-07-18 20:38:00.120442 msg - common.py - getTrackInfo --> requesting track info for trackID: 1yFUxNuVEHgbfGnpnjJjOw
2022-07-18 20:38:00.811170 msg - common.py - getTrackInfo --> requesting track info for trackID: 1qOcvR6qQzbTSTHUV6PAHq
2022-07-18 20:38:01.324343 msg - common.py - getTrackInfo --> requesting track info for trackID: 1qOcvR6qQzbTSTHUV6PAHq
2022-07-18 20:38:01.783113 msg - common.py - getTrackInfo --> requesting track info for trackID: 1qOcvR6qQzbTSTHUV6PAHq
2022-07-18 20:38:02.430483 msg - common.py - getTrackInfo --> requesting track info for trackID: 5N9DM5JGgRpTSYvOZdHBz1
2022-07-18 20:38:02.882602 msg - common.py - getTrackInfo --> requesting track info for trackID: 5N9DM5JGgRpTSYvOZdHBz1
2022-07-18 20:38:03.401580 msg - common.py - getTrackInfo --> requesting track info for trackID: 5N9DM5JGgRpTSYvOZdHBz1
2022-07-18 20:38:04.078784 msg - common.py - getTrackInfo --> requesting track info for trackID: 5Q0T0Tc1t5LJkgS3BP4Rvx
2022-07-18 20:38:04.626329 msg - common.py - getTrackInfo --> requesting track info for trackID: 5Q0T0Tc1t5LJkgS3BP4Rvx
2022-07-18 20:38:05.184052 msg - common.py - getTrackInfo --> requesting track info for trackID: 5Q0T0Tc1t5LJkgS3BP4Rvx
2022-07-18 20:38:05.839089 msg - common.py - getTrackInfo --> requesting track info for trackID: 3JeKMGU9urtaB63p6kWh2e
2022-07-18 20:38:06.322087 msg - common.py - getTrackInfo --> requesting track info for trackID: 3JeKMGU9urtaB63p6kWh2e
2022-07-18 20:38:06.887099 msg - common.py - getTrackInfo --> requesting track info for trackID: 3JeKMGU9urtaB63p6kWh2e
2022-07-18 20:38:07.492840 msg - common.py - getTrackInfo --> requesting track info for trackID: 6kvfTsst2mxdd9u8cwFXxM
2022-07-18 20:38:08.085842 msg - common.py - getTrackInfo --> requesting track info for trackID: 6kvfTsst2mxdd9u8cwFXxM
2022-07-18 20:38:08.573843 msg - common.py - getTrackInfo --> requesting track info for trackID: 6kvfTsst2mxdd9u8cwFXxM
2022-07-18 20:38:09.278843 msg - common.py - getTrackInfo --> requesting track info for trackID: 1KihNYX0gXk7PXqhVVzxlx
2022-07-18 20:38:09.845841 msg - common.py - getTrackInfo --> requesting track info for trackID: 1KihNYX0gXk7PXqhVVzxlx
2022-07-18 20:38:10.351843 msg - common.py - getTrackInfo --> requesting track info for trackID: 1KihNYX0gXk7PXqhVVzxlx
2022-07-18 20:38:11.049843 msg - common.py - getTrackInfo --> requesting track info for trackID: 4Ei7ifq8EaqlOXDSPLonqw
2022-07-18 20:38:11.604844 msg - common.py - getTrackInfo --> requesting track info for trackID: 4Ei7ifq8EaqlOXDSPLonqw
2022-07-18 20:38:12.113360 msg - common.py - getTrackInfo --> requesting track info for trackID: 4Ei7ifq8EaqlOXDSPLonqw
2022-07-18 20:38:12.814355 msg - common.py - getTrackInfo --> requesting track info for trackID: 22tl9vIoFEHOyqjsHMjKpz
2022-07-18 20:38:13.340357 msg - common.py - getTrackInfo --> requesting track info for trackID: 22tl9vIoFEHOyqjsHMjKpz
2022-07-18 20:38:13.862877 msg - common.py - getTrackInfo --> requesting track info for trackID: 22tl9vIoFEHOyqjsHMjKpz
2022-07-18 20:38:14.509874 msg - common.py - getTrackInfo --> requesting track info for trackID: 7M4QhPi5bfTdCnKG1hO2AE
2022-07-18 20:38:15.007876 msg - common.py - getTrackInfo --> requesting track info for trackID: 7M4QhPi5bfTdCnKG1hO2AE
2022-07-18 20:38:15.517874 msg - common.py - getTrackInfo --> requesting track info for trackID: 7M4QhPi5bfTdCnKG1hO2AE
2022-07-18 20:38:16.196875 msg - common.py - getTrackInfo --> requesting track info for trackID: 5uIu5q5IEulzmBcR4bjQCn
2022-07-18 20:38:16.681876 msg - common.py - getTrackInfo --> requesting track info for trackID: 5uIu5q5IEulzmBcR4bjQCn
2022-07-18 20:38:17.293876 msg - common.py - getTrackInfo --> requesting track info for trackID: 5uIu5q5IEulzmBcR4bjQCn
2022-07-18 20:38:17.919875 msg - common.py - getTrackInfo --> requesting track info for trackID: 5LWQOM7kxJ3MCUj2oQwBWU
2022-07-18 20:38:18.534875 msg - common.py - getTrackInfo --> requesting track info for trackID: 5LWQOM7kxJ3MCUj2oQwBWU
2022-07-18 20:38:19.100877 msg - common.py - getTrackInfo --> requesting track info for trackID: 5LWQOM7kxJ3MCUj2oQwBWU
2022-07-18 20:38:19.690875 msg - common.py - getTrackInfo --> requesting track info for trackID: 1tPuhSKJAuVCuNTKvMeuvV
2022-07-18 20:38:20.247878 msg - common.py - getTrackInfo --> requesting track info for trackID: 1tPuhSKJAuVCuNTKvMeuvV
2022-07-18 20:38:20.782876 msg - common.py - getTrackInfo --> requesting track info for trackID: 1tPuhSKJAuVCuNTKvMeuvV
2022-07-18 20:38:21.438875 msg - common.py - getTrackInfo --> requesting track info for trackID: 0ASnGoTAQbNPMq40tKCO1F
2022-07-18 20:38:21.978877 msg - common.py - getTrackInfo --> requesting track info for trackID: 0ASnGoTAQbNPMq40tKCO1F
2022-07-18 20:38:22.521876 msg - common.py - getTrackInfo --> requesting track info for trackID: 0ASnGoTAQbNPMq40tKCO1F
2022-07-18 20:38:23.185877 msg - common.py - getTrackInfo --> requesting track info for trackID: 4OtNzMNLTAZlbwXJWddtVs
2022-07-18 20:38:23.739875 msg - common.py - getTrackInfo --> requesting track info for trackID: 4OtNzMNLTAZlbwXJWddtVs
2022-07-18 20:38:24.202085 msg - common.py - getTrackInfo --> requesting track info for trackID: 4OtNzMNLTAZlbwXJWddtVs
2022-07-18 20:38:24.852864 msg - common.py - getTrackInfo --> requesting track info for trackID: 1zvaZtvhS05sBRK29ywtMV
2022-07-18 20:38:25.333674 msg - common.py - getTrackInfo --> requesting track info for trackID: 1zvaZtvhS05sBRK29ywtMV
2022-07-18 20:38:25.882310 msg - common.py - getTrackInfo --> requesting track info for trackID: 1zvaZtvhS05sBRK29ywtMV
2022-07-18 20:38:26.542217 msg - common.py - getTrackInfo --> requesting track info for trackID: 7uxGp0Sevqr5XWhJNOFu6f
2022-07-18 20:38:27.033009 msg - common.py - getTrackInfo --> requesting track info for trackID: 7uxGp0Sevqr5XWhJNOFu6f
2022-07-18 20:38:27.565802 msg - common.py - getTrackInfo --> requesting track info for trackID: 7uxGp0Sevqr5XWhJNOFu6f
2022-07-18 20:38:28.140584 msg - common.py - getTrackInfo --> requesting track info for trackID: 4mVpHGz9hj17UzxLSpyFvc
2022-07-18 20:38:28.691230 msg - common.py - getTrackInfo --> requesting track info for trackID: 4mVpHGz9hj17UzxLSpyFvc
2022-07-18 20:38:29.163904 msg - common.py - getTrackInfo --> requesting track info for trackID: 4mVpHGz9hj17UzxLSpyFvc
2022-07-18 20:38:29.855843 msg - common.py - getTrackInfo --> requesting track info for trackID: 2sp3Aymrge2lIQdyMFL2iI
2022-07-18 20:38:30.343344 msg - common.py - getTrackInfo --> requesting track info for trackID: 2sp3Aymrge2lIQdyMFL2iI
2022-07-18 20:38:30.808579 msg - common.py - getTrackInfo --> requesting track info for trackID: 2sp3Aymrge2lIQdyMFL2iI
2022-07-18 20:38:31.553626 msg - common.py - getTrackInfo --> requesting track info for trackID: 0oi2GjlJFs0yrPxesQvDrb
2022-07-18 20:38:32.110628 msg - common.py - getTrackInfo --> requesting track info for trackID: 0oi2GjlJFs0yrPxesQvDrb
2022-07-18 20:38:32.594576 msg - common.py - getTrackInfo --> requesting track info for trackID: 0oi2GjlJFs0yrPxesQvDrb
2022-07-18 20:38:33.226722 msg - common.py - getTrackInfo --> requesting track info for trackID: 05IxkEdfy4YmYH99fumaBg
2022-07-18 20:38:33.779935 msg - common.py - getTrackInfo --> requesting track info for trackID: 05IxkEdfy4YmYH99fumaBg
2022-07-18 20:38:34.266192 msg - common.py - getTrackInfo --> requesting track info for trackID: 05IxkEdfy4YmYH99fumaBg
2022-07-18 20:38:34.916456 msg - common.py - getTrackInfo --> requesting track info for trackID: 3kva8N8F2TmCbHsH8X9uON
2022-07-18 20:38:35.414909 msg - common.py - getTrackInfo --> requesting track info for trackID: 3kva8N8F2TmCbHsH8X9uON
2022-07-18 20:38:35.966772 msg - common.py - getTrackInfo --> requesting track info for trackID: 3kva8N8F2TmCbHsH8X9uON
2022-07-18 20:38:36.665713 msg - common.py - getTrackInfo --> requesting track info for trackID: 6W9gyGLhpSlaFV89xZiAcH
2022-07-18 20:38:37.166203 msg - common.py - getTrackInfo --> requesting track info for trackID: 6W9gyGLhpSlaFV89xZiAcH
2022-07-18 20:38:37.708979 msg - common.py - getTrackInfo --> requesting track info for trackID: 6W9gyGLhpSlaFV89xZiAcH
2022-07-18 20:38:38.457162 msg - common.py - getTrackInfo --> requesting track info for trackID: 6qs9lmw7ifg3EAG11nkIKS
2022-07-18 20:38:39.018161 msg - common.py - getTrackInfo --> requesting track info for trackID: 6qs9lmw7ifg3EAG11nkIKS
2022-07-18 20:38:39.526147 msg - common.py - getTrackInfo --> requesting track info for trackID: 6qs9lmw7ifg3EAG11nkIKS
2022-07-18 20:38:40.177824 msg - common.py - getTrackInfo --> requesting track info for trackID: 5rRCCslWoVsjr6B8R1xACj
2022-07-18 20:38:40.625678 msg - common.py - getTrackInfo --> requesting track info for trackID: 5rRCCslWoVsjr6B8R1xACj
2022-07-18 20:38:41.084173 msg - common.py - getTrackInfo --> requesting track info for trackID: 5rRCCslWoVsjr6B8R1xACj
2022-07-18 20:38:41.942594 msg - common.py - getTrackInfo --> requesting track info for trackID: 08FzQ2FrU654oUxyarOlFp
2022-07-18 20:38:42.462672 msg - common.py - getTrackInfo --> requesting track info for trackID: 08FzQ2FrU654oUxyarOlFp
2022-07-18 20:38:42.970569 msg - common.py - getTrackInfo --> requesting track info for trackID: 08FzQ2FrU654oUxyarOlFp
2022-07-18 20:38:43.649266 msg - common.py - getTrackInfo --> requesting track info for trackID: 5ZWNnHHW6rnoJBflo6Ufaa
2022-07-18 20:38:44.121861 msg - common.py - getTrackInfo --> requesting track info for trackID: 5ZWNnHHW6rnoJBflo6Ufaa
2022-07-18 20:38:44.606129 msg - common.py - getTrackInfo --> requesting track info for trackID: 5ZWNnHHW6rnoJBflo6Ufaa
2022-07-18 20:38:45.222260 msg - common.py - getTrackInfo --> requesting track info for trackID: 48v0UYRYqXxE4zPeicbEC4
2022-07-18 20:38:45.672811 msg - common.py - getTrackInfo --> requesting track info for trackID: 48v0UYRYqXxE4zPeicbEC4
2022-07-18 20:38:46.233612 msg - common.py - getTrackInfo --> requesting track info for trackID: 48v0UYRYqXxE4zPeicbEC4
2022-07-18 20:38:46.878610 msg - common.py - getTrackInfo --> requesting track info for trackID: 0zzEIU6yswU08t4cpe3KIp
2022-07-18 20:38:47.375655 msg - common.py - getTrackInfo --> requesting track info for trackID: 0zzEIU6yswU08t4cpe3KIp
2022-07-18 20:38:48.128655 msg - common.py - getTrackInfo --> requesting track info for trackID: 0zzEIU6yswU08t4cpe3KIp
2022-07-18 20:38:49.209652 msg - common.py - getTrackInfo --> requesting track info for trackID: 3cZwOHopWjGTDE26zNyHD1
2022-07-18 20:38:49.853651 msg - common.py - getTrackInfo --> requesting track info for trackID: 3cZwOHopWjGTDE26zNyHD1
2022-07-18 20:38:50.487651 msg - common.py - getTrackInfo --> requesting track info for trackID: 3cZwOHopWjGTDE26zNyHD1
2022-07-18 20:38:51.175653 msg - common.py - getTrackInfo --> requesting track info for trackID: 2fg4h4ybhe3sCQooH9YuDt
2022-07-18 20:38:51.817654 msg - common.py - getTrackInfo --> requesting track info for trackID: 2fg4h4ybhe3sCQooH9YuDt
2022-07-18 20:38:52.360654 msg - common.py - getTrackInfo --> requesting track info for trackID: 2fg4h4ybhe3sCQooH9YuDt
2022-07-18 20:38:53.136544 msg - common.py - getTrackInfo --> requesting track info for trackID: 5ZXXtiEtdq0ZEM18NLnSm7
2022-07-18 20:38:53.635442 msg - common.py - getTrackInfo --> requesting track info for trackID: 5ZXXtiEtdq0ZEM18NLnSm7
2022-07-18 20:38:54.138273 msg - common.py - getTrackInfo --> requesting track info for trackID: 5ZXXtiEtdq0ZEM18NLnSm7
2022-07-18 20:38:54.745890 msg - common.py - getTrackInfo --> requesting track info for trackID: 4m22p2wKS5fugJxozZsCWS
2022-07-18 20:38:55.287335 msg - common.py - getTrackInfo --> requesting track info for trackID: 4m22p2wKS5fugJxozZsCWS
2022-07-18 20:38:55.818594 msg - common.py - getTrackInfo --> requesting track info for trackID: 4m22p2wKS5fugJxozZsCWS
2022-07-18 20:38:56.460837 msg - common.py - getTrackInfo --> requesting track info for trackID: 2UTq8ICpWSgktPVulmoGDa
2022-07-18 20:38:56.972379 msg - common.py - getTrackInfo --> requesting track info for trackID: 2UTq8ICpWSgktPVulmoGDa
2022-07-18 20:38:57.454736 msg - common.py - getTrackInfo --> requesting track info for trackID: 2UTq8ICpWSgktPVulmoGDa
2022-07-18 20:38:58.050829 msg - common.py - getTrackInfo --> requesting track info for trackID: 6n3fF1be4iubOH7UIUgumk
2022-07-18 20:38:58.536037 msg - common.py - getTrackInfo --> requesting track info for trackID: 6n3fF1be4iubOH7UIUgumk
2022-07-18 20:38:59.108603 msg - common.py - getTrackInfo --> requesting track info for trackID: 6n3fF1be4iubOH7UIUgumk
2022-07-18 20:38:59.716036 msg - common.py - getTrackInfo --> requesting track info for trackID: 1VbWJ8Dmwh3aA3O2RomJrQ
2022-07-18 20:39:00.237509 msg - common.py - getTrackInfo --> requesting track info for trackID: 1VbWJ8Dmwh3aA3O2RomJrQ
2022-07-18 20:39:00.770307 msg - common.py - getTrackInfo --> requesting track info for trackID: 1VbWJ8Dmwh3aA3O2RomJrQ
2022-07-18 20:39:01.448410 msg - common.py - getTrackInfo --> requesting track info for trackID: 0kltsr6LNCJRAl4hMopQE3
2022-07-18 20:39:01.943931 msg - common.py - getTrackInfo --> requesting track info for trackID: 0kltsr6LNCJRAl4hMopQE3
2022-07-18 20:39:02.505932 msg - common.py - getTrackInfo --> requesting track info for trackID: 0kltsr6LNCJRAl4hMopQE3
2022-07-18 20:39:03.283945 msg - common.py - getTrackInfo --> requesting track info for trackID: 3eSD28qS2SaHNJFwa4j7KR
2022-07-18 20:39:03.855943 msg - common.py - getTrackInfo --> requesting track info for trackID: 3eSD28qS2SaHNJFwa4j7KR
2022-07-18 20:39:04.385943 msg - common.py - getTrackInfo --> requesting track info for trackID: 3eSD28qS2SaHNJFwa4j7KR
2022-07-18 20:39:05.159353 msg - common.py - getTrackInfo --> requesting track info for trackID: 6cqCR2EwEL7h0L2DWljIik
2022-07-18 20:39:05.683356 msg - common.py - getTrackInfo --> requesting track info for trackID: 6cqCR2EwEL7h0L2DWljIik
2022-07-18 20:39:06.233356 msg - common.py - getTrackInfo --> requesting track info for trackID: 6cqCR2EwEL7h0L2DWljIik
2022-07-18 20:39:06.983355 msg - common.py - getTrackInfo --> requesting track info for trackID: 63RdWKw9G2hccqYD4EZ1dB
2022-07-18 20:39:07.491356 msg - common.py - getTrackInfo --> requesting track info for trackID: 63RdWKw9G2hccqYD4EZ1dB
